date,exchange_rate
2009-01-02,0
2009-01-05,0
2009-01-08,0
2010-10-19,0.1
2010-10-22,0.11
2010-10-25,0.18
2010-10-28,0.19
2010-11-29,0.28
2010-12-02,0.25
2010-12-05,0.23
2010-12-08,0.25
2012-03-14,5.45
2012-03-17,5.4
2012-03-20,4.95
2012-03-23,4.81
2012-03-27,4.74
2012-03-30,4.85
2012-04-02,4.97
2012-04-05,4.96
2012-04-08,4.94
2012-04-11,4.9
2012-04-14,4.97
2012-04-17,4.99
2012-04-20,5.19
2012-04-23,5.3
2012-04-26,5.16
2012-04-29,5.09
2012-05-02,5.04
2012-05-05,5.15
2012-05-08,5.1
2019-06-13,8173.06
2019-07-13,11803.97
2019-07-16,10873.5
2019-07-19,10638.56
2019-07-22,10587.41
2019-07-25,9772.17
2019-07-28,9473.99
2019-07-31,9589.13
2019-08-03,10529.55
2019-08-06,11787.99
2019-08-09,11996.41
2019-08-12,11566.84
2019-08-15,10016.96
2022-03-29,47115.93
